Rounds
39
37
33
43
43
38
52
35
36
38
51
35
54
53
27
50
42
29
50
42
38
41
35
32
21
34
28
35
26
27
31
34
25
30
28
36
31
41
47
27
22
29
40
23
25
25
15
15
23
23
28
29
26
30
25
25
23
22
32
24
34
28
24
20
21
21
29
31
23
21
19
18
21
20
26
28
26
19
25
30
15
26
24
13
18
13
27
13
26
22
18
23
16
28
32
14
19
18
19
20
17
37
24
27
22
24
19
18
18
20
22
18
18
24
14
28
23
23
18
23
37
20
24
15
20
16
21
12
26
15
25
21
28
24
14
15
15
12
17
16
13
19
25
29
18
17
23
18
20
15
18
21
15
18
23
12
16
15
19
12
19
13
22
19
18
10
26
26
19
14
22
16
24
19
10
19
16
9
12
17
8
18
22
21
19
15
10
19
16
14
18
15
14
24
21
22
10
15
15
22
28
16
15
18
16
19
13
19
15
23
20
21
18
18
10
16
18
14
23
16
20
21
16
19
17
17
13
11
17
16
22
13
11
12
15
16
15
15
12
15
19
16
12
10
17
20
17
14
14
14
11
22
19
11
18
19
21
18
17
23
12
16
16
17
18
19
15
11
14
11
18
19
17
14
11
7
17
11
13
10
17
15
16
13
11
17
17
19
18
13
13
13
19
13
10
19
10
11
16
17
10
18
12
15
19
15
10
12
16
14
11
17
11
13
11
21
17
19
10
18
21
12
13
19
11
12
15
14
15
20
13
13
10
13
16
12
13
17
10
13
11
12
11
13
10
15
17
17
15
12
11
15
11
9
9
14
11
14
16
9
14
10
19
15
9
12
15
13
15
14
15
14
14
12
14
13
12
16
10
20
14
10
17
11
16
10
11
16
15
12
10
12
14
11
12
8
20
12
15
14
12
13
15
9
11
15
9
12
16
17
11
13
21
17
12
11
9
11
12
15
12
10
14
15
10
12
9
8
14
13
9
17
11
21
12
14
12
13
8
13
11
8
9
12
12
14
13
20
14
13
15
12
14
12
12
14
8
9
14
11
10
11
19
9
14
15
12
12
10
10
11
12
14
13
19
9
12
12
13
10
8
12
16
9
12
12
12
16
20
11
11
12
10
14
7
14
10
11
13
14
12
11
12
12
11
10
6
16
11
13
11
13
20
9
11
11
12
14
10
10
10
12
13
15
15
13
10
13
10
19
15
16
11
14
10
11
11
14
10
15
11
15
14
13
13
15
10
14
8
12
14
12
11
8
11
13
10
13
13
13
8
9
20
14
13
12
9
11
13
10
10
16
11
11
17
16
12
17
14
9
10
8
10
11
16
13
11
14
11
10
12
11
10
10
9
8
12
11
13
11
10
11
13
12
9
14
8
14
13
9
9
8
10
14
12
11
8
9
13
18
11
10
18
18
15
16
10
13
12
15
9
9
20
8
11
14
14
8
8
12
17
10
9
12
10
11
14
9
7
9
10
9
12
10
11
15
15
10
14
13
14
12
14
10
9
7
9
10
9
12
12
13
11
15
10
10
12
10
13
11
10
8
9
14
11
11
9
10
16
7
11
13
21
12
13
14
9
11
12
9
19
11
18
5
10
10
12
14
11
17
10
11
9
8
16
11
13
10
12
14
14
8
10
12
13
12
14
9
12
9
8
12
12
9
13
10
9
13
15
11
13
10
10
8
15
16
11
13
10
8
7
18
12
12
12
15
12
8
13
8
9
10
11
11
13
9
9
18
9
14
14
14
11
8
14
14
14
8
7
9
9
15
12
8
11
10
12
11
14
13
13
10
10
14
18
10
10
9
13
7
8
9
14
12
10
12
10
12
10
14
10
14
9
16
10
13
12
13
12
10
9
11
11
18
14
6
14
15
8
13
20
10
12
13
14
9
10
12
12
10
16
9
9
11
12
8
13
13
12
14
11
9
12
12
16
9
13
8
12
9
12
9
12
12
9
11
9
12
9
10
11
12
8
14
13
11
16
9
13
14
9
10
11
11
12
10
12
13
9
11
12
10
12
7
10
16
9
13
15
9
10
13
10
11
11
9
9
11
12
14
11
10
11
11
11
10
10
12
8
9
7
16
9
11
8
9
13
7
17
9
11
11
11
9
10
11
10
14
8
9
11
8
12
10
11
12
8
10
11
15
15
10
14
15
7
10
8
8
9
12
12
8
9
9
19
13
8
10
11
9
11
12
9
10
13
9
10
13
9
11
10
13
10
13
9
11
9
12
11
10
9
10
14
15
9
12
9
10
10
10
