Rounds,Avg_Loss
29,0.0
42,0.0
36,0.0
30,0.0
53,0.0
45,0.0
43,0.0
46,0.0
32,0.0
38,0.0
37,0.0
30,0.0
32,0.0
25,0.0
38,216.15669303104795
33,226.71864636739096
54,196.3331433614095
60,213.32729757915843
41,178.73171479361397
51,206.04955740672787
39,205.38244129629697
44,231.87099112927075
35,185.45028501482153
32,182.1083024240309
35,215.73640761742226
30,160.09757683194917
33,167.7545063854897
34,174.48767604249898
45,187.01582128123232
30,159.07671569894862
33,157.1096966540227
37,167.80177703270544
37,134.3565360522661
25,146.9444615929215
37,137.4979015094478
29,118.60185059185686
17,134.43172945976258
26,102.86371058124607
28,131.39308164037507
35,128.70106370898262
27,160.06468746579927
19,152.96365144517688
29,144.7947440677219
26,123.35122149540828
23,136.3542275238037
31,132.99945479631424
27,130.83737737791878
31,145.7053985595703
26,130.66950282715914
29,131.65911402467822
21,136.23463797569275
27,153.54538502105294
32,138.95606028238933
24,124.42533069610596
28,156.20089016930532
22,138.88393433888754
22,150.334916951705
27,119.17558362904717
27,151.7103272799788
28,147.14391307830812
26,147.6521030294484
22,157.7676003125249
39,130.77481991535907
38,138.35693301652609
22,151.65035154169257
21,150.1259949782799
22,149.09818618774415
20,144.8994343327541
32,138.36946429377016
26,140.0795296636121
25,170.8504958493369
23,122.58614608764648
18,144.0027324358622
19,151.80325533793524
22,143.27336201844392
22,139.90690641049986
32,136.20055714775535
22,109.24538103739421
16,136.11604104439417
32,129.44727577882654
16,160.531533586218
41,155.60470327801175
23,149.93651077665132
19,162.40975534915924
21,172.8498634026975
29,129.55714357310328
23,162.16254372690238
25,148.7978784593485
22,164.9709962101306
35,163.45447776317596
17,156.33081795952538
19,173.68867572148642
24,158.72644639015198
23,134.5197479760469
26,138.03649068761754
18,146.42171809358416
21,150.22471449110242
21,156.1984574508667
23,151.88259293238323
19,172.95112890126754
23,138.4941255569458
15,157.53935995767281
30,172.75497063723478
17,158.72339703486517
20,151.83312852042062
26,152.11722966707669
18,157.47980524146038
15,158.90929222106934
20,182.62800514698029
26,153.10088435674118
16,152.22864866256714
14,149.3356970310211
15,195.68376598358154
20,158.70285935835406
25,151.9420900625341
16,173.44189222468887
19,158.5837342787762
17,159.3511553244157
14,157.70668187348738
21,164.1023314680372
17,150.08659009730562
21,168.02739438823625
14,162.9853203005907
12,133.45274191636307
22,152.40118476440168
22,170.37246086120606
19,158.41058530410132
21,159.95791632669014
22,165.84699616865677
26,147.91187828876934
25,161.9431852976481
17,168.80634491784232
20,161.09154556274413
20,165.40630567073822
24,155.1062469482422
24,169.10254113427524
23,153.0397486600009
22,173.9761928299726
26,157.03556260195646
21,158.89502455393475
20,166.05621615323153
14,169.0880610148112
20,160.8138953844706
9,167.1769586801529
28,145.54664574247417
25,196.55604294111143
20,193.63104422548983
23,168.37191315947987
15,144.8603286743164
10,164.10103158950807
21,150.53088507652282
19,161.74765992164612
21,152.91179082907883
16,165.20032477378845
18,161.00611956914267
14,155.5935473669143
15,178.92807445526122
26,133.94804489997125
25,158.56341831500714
25,167.42380236015944
14,158.53136610984802
18,178.12752113342285
15,187.7780294003694
11,156.00821038296348
12,165.18759024483816
21,137.01186001300812
17,157.26311777152267
16,166.55128198988893
17,164.491910428417
15,166.3773089817592
24,169.1892922384697
11,176.1507534980774
19,185.08452602533194
15,152.43095657153006
14,151.10864736867507
13,196.30388783299645
12,166.150906426566
16,157.32651586117953
17,157.95653282327854
14,146.50536284239396
12,162.30543618453177
16,187.26535615255668
18,147.5847911039988
18,164.05318996429443
18,168.97712577473033
16,154.2604466785084
12,139.49492630205657
15,145.4394787258572
16,168.87662541589071
17,148.22742731430952
22,167.00175461679135
14,171.89608814405358
17,165.86712869008383
21,159.68603288210355
25,170.2879018343412
15,159.76488906012642
15,188.01340309409207
22,174.0532898824723
11,165.30865494797868
15,155.33420542453197
15,162.92050821130925
15,142.83586283524832
22,145.5048026332149
20,164.38322167647513
18,172.90241692990674
10,177.9766691327095
17,158.4787144771842
11,181.21091690063477
12,167.78670183817545
17,174.49486804962157
16,167.51670650725669
12,181.71044591756967
19,161.6091629375111
19,175.67785120910068
23,154.21817012933585
13,128.54018954013256
14,143.39863519890363
17,172.41462954453058
12,159.48669910430908
21,155.20503497541998
12,173.32646460760208
13,168.69797115791135
12,167.71349347721446
16,173.41168582439423
20,165.58772964477538
12,178.28497676849366
12,174.47551774978638
15,176.10241918978483
10,172.06673653061324
21,170.36161984895406
16,149.53128584041153
18,156.9299945329365
9,207.43795834647284
19,156.2482421696186
17,173.0481455933814
12,165.97140002780492
18,162.18357287920438
16,165.40699818929036
14,181.0477932463301
10,159.57571535110475
18,171.89822193727656
20,149.29475329215066
18,146.0983927375392
13,167.67623668763696
18,163.64321730687067
19,166.12882171358382
15,143.40030944590666
12,147.63525283627393
14,151.9258649565957
20,155.69369483480648
11,141.68649141788484
12,152.57884327958268
16,169.44884270562065
23,182.09571247716104
22,165.5700640513979
12,173.23283936256587
15,153.70702060433322
17,149.25594381491342
15,136.66096444563433
12,153.04941504342216
14,140.30121595209295
11,161.12887856899164
17,168.30327030256683
17,173.4776682752244
14,170.12078925238714
16,160.5118688695571
16,169.54377290476924
15,200.32987113793692
19,156.81302402637624
9,186.72899930617388
14,175.42217849021733
13,177.05253850846063
17,172.91552240708296
9,173.686950138637
12,168.30762481689453
13,167.53012295986744
19,174.41117290214257
13,157.48777198791504
21,158.47611528635025
15,176.99693082018595
17,168.28971246878305
9,169.71150187442177
13,169.5213242712475
19,166.04699412259188
18,179.1428705103257
16,168.67730970550002
10,148.77833848529392
17,182.9184801529865
12,164.75197583978826
18,182.48557933460583
15,170.95946485731338
25,155.3790189743042
12,183.40956962399366
11,147.9250404458297
15,178.39126213737157
17,164.99022399054633
19,162.97871190530282
17,137.79363031740542
16,181.71372362772624
9,172.42164837230337
20,148.06331669489543
11,140.07197261501003
12,187.40515007972718
11,147.2333415426859
9,168.9780768258231
11,168.08193998336793
17,143.99158737507273
10,150.68734801443
10,158.3930634221723
13,135.95564759083283
13,178.66558931040208
17,146.28838423962864
20,154.0453219567576
16,169.1711806488037
11,212.84798918830023
13,134.66484143782634
17,168.91086172624068
9,178.39315785302057
7,170.84428131580353
10,179.4839063220554
12,171.61250059228195
16,185.7186534151118
13,178.72212178656395
12,178.91963530749808
20,167.81734957839504
13,189.9036154997976
22,169.28354473390442
12,183.6929361210313
21,157.67050239957612
16,165.60781770822953
15,202.46451902389526
20,180.7958575762235
15,158.36533733036208
11,182.96989789009095
15,203.14752666155496
12,149.99945464341536
16,166.87500517184918
25,167.65289483943457
13,178.32457572535463
17,154.98977826191827
12,189.81590452648345
15,206.59432227938782
12,180.15468100614325
13,200.2776532400222
17,182.13041593260684
18,199.5827581761247
22,159.8595089189934
17,154.0531331978592
13,195.52430160840353
17,193.55200149394847
11,167.07008753324808
17,184.09405937194825
9,180.6885556307706
21,177.45919931345972
16,157.37417977431724
15,196.3238444328308
10,164.7335936602424
11,200.3631333049975
14,208.22513872511843
16,185.16287959705699
14,189.19002244910416
13,179.7443067550659
11,151.03995185428195
13,170.94329706827799
16,147.58678436279297
13,136.22752622278725
10,162.81371796436798
13,178.96443485177082
14,166.85576948912248
11,175.14004140151175
10,176.7962827927027
11,154.1558234875019
13,153.1559853886449
12,150.76554577849632
