Rounds,Avg_Loss
45,0.0
31,0.0
55,0.0
51,0.0
26,0.0
34,0.0
36,0.0
39,0.0
39,0.0
53,0.0
33,0.0
19,0.0
32,0.0
45,0.0
37,46.445775010850696
36,38.54615030715715
42,34.5963368611793
28,36.51008578709194
30,37.52962572234018
49,37.13647906373187
33,43.421180693308514
23,39.08148808749217
38,36.42951379306074
48,35.391151855731835
47,27.55098665213283
30,23.079938242512366
23,15.821759084860483
22,11.46111032485962
39,5.9518270015716555
39,3.749900539200027
30,30.931937820033024
22,20.753513744899205
20,19.07293524461634
32,19.717141127977214
35,20.062449082936325
28,20.27160778598509
31,20.054114317893983
23,20.95434170143277
42,22.410818437986737
37,20.8445851560952
24,24.571373314693055
19,22.214279492696125
40,20.65809027538743
40,20.174357547992614
45,21.155806074751183
28,21.93161810982612
31,21.931922242045403
30,20.974523129286588
37,21.516695419947307
29,21.718993535117498
27,25.0216303118344
37,21.32195859322181
22,23.496099520702753
30,22.43630776162875
25,24.23250215284286
26,23.377081089332457
18,24.10211797900822
21,22.667355398698287
21,27.719206926774007
41,21.903452674547832
21,26.749734623091562
28,27.031637078239804
25,24.68732531191939
33,23.85499531572515
33,26.562617543625507
35,23.888255884398276
25,22.521310750927245
35,25.278635550851693
30,26.44797223301257
29,24.387423555056255
21,24.96935347219308
21,24.599750757217407
22,24.20959101308067
29,26.36893499843658
15,27.459677030873852
33,26.471739486644143
25,26.501873953589076
35,24.692916125059128
24,25.90971052646637
38,25.231952768564224
19,25.66587309743844
21,24.728952040274937
24,23.494175747329113
13,21.795591317690334
30,26.880946280351324
35,26.762587155381294
25,29.697287594188342
23,26.41344059944153
16,24.512039775649708
31,24.71170895610537
33,23.6608631168093
16,30.036935517954273
15,23.59590800783851
22,26.863010607267682
20,24.956416972140048
32,25.426665034559036
20,25.99249666929245
12,27.652995631501483
24,28.656408840515574
26,26.604127530128725
18,26.815011754631996
16,26.75025201766264
15,25.331325300196383
21,26.456459313631058
23,27.089962627928134
20,24.999093024627022
29,25.498692316167496
23,26.64015861979702
21,23.96144468254513
18,23.988787004682752
16,24.994534730911255
15,27.851446571804228
25,27.65717722629679
11,22.987005757122503
18,25.155116587269063
17,27.258522684757526
29,26.497860454022884
18,24.42246388415901
31,27.81878284974532
16,28.20770068284942
27,28.039070292000186
22,22.10296140282841
19,24.221511405089807
25,24.898781500165423
17,24.40165563730093
20,24.558388186436073
21,29.055864522090324
23,26.515780214677775
20,26.085378014124355
19,25.483266752593373
14,26.868393588066102
25,24.37903556972742
17,22.928726863861083
17,21.161709942817687
19,24.83239758014679
10,28.50883917247548
15,26.705923721903847
22,30.151505632220573
17,27.506431283950807
18,27.668809719085694
16,26.71828202848081
17,22.538558582926907
22,31.054144535424573
16,33.2378179197726
19,29.59865899743705
31,29.67313377181096
24,29.797895373038525
25,26.784662226835888
16,29.31560636603314
15,26.467381057739257
18,30.697040523182263
20,28.56620443092202
24,28.21624811670997
21,26.67837113254475
11,28.605416879421327
19,28.924246586286106
14,28.71773826508295
14,29.84422407593838
14,27.178199829057206
15,28.22847828775082
21,33.67681257541363
20,31.23992522395387
22,32.105389817555746
15,27.71746064528175
20,30.632051645540724
16,27.323520759741466
19,29.82995486685208
10,30.186443739467197
17,31.45458963805554
12,29.959177429025825
14,29.412732473233852
16,28.789760531211385
22,30.57870844175231
17,29.125193767547607
16,28.419721585053665
16,30.12038230895996
14,27.931604992259633
16,30.54364730119705
21,28.454281732439995
27,28.448499588739303
26,30.93207598501636
12,32.62453923574308
16,29.763152721316317
16,29.01962138236837
17,28.271829932343724
19,31.71107984075741
12,34.94767837524414
22,31.886329174041748
19,27.99201626578967
12,27.14627129857133
15,30.030931790669758
18,29.90661861346318
26,33.47829723358154
17,31.523301854425547
12,29.587602480863914
11,32.91960652669271
16,26.99143868552314
27,30.19030204941245
14,32.44559149515061
17,33.31351046659508
19,25.976604214736394
18,26.97094289302826
14,26.481287913852267
12,29.581561333093887
17,27.115593016147614
16,27.848713058691757
22,27.953682539598
15,29.365747292836506
16,23.773267900659924
23,27.044084508540266
20,31.54853939158576
20,27.11493256406964
12,30.559034812144745
16,30.23958909511566
14,28.644852607146554
14,31.860240376513936
24,30.915484360286168
17,27.945187797913185
16,32.99856428146362
13,27.219365566334826
19,30.96410966786471
16,29.928256397247313
20,31.154941863027112
19,34.06097049713135
20,33.24338149141382
17,33.778406113994365
17,31.871677595026352
11,34.000062587649325
12,32.37616727465675
12,32.80753491564495
24,29.484434103036854
15,30.372581189992477
12,29.218508475866074
17,29.634256616551827
17,29.8074301260489
11,32.82748650281857
17,30.409669187333847
9,29.965864616281845
17,28.113234654912407
17,31.330953687991737
17,31.564165958991417
20,28.756535720825195
16,27.880832142300076
19,28.26798789284446
19,28.213613734525794
15,28.855729351043703
14,34.42415240346169
20,32.05163637229374
14,32.848444759845734
15,30.274382487587307
16,29.143184891453497
19,29.227472469724457
13,29.062878268105642
20,31.77641658782959
15,27.15692994811318
15,30.51045334339142
13,30.03058562473375
15,31.39383338822259
13,34.60459166481381
12,31.135426112583705
13,35.09111873308817
14,28.58661425113678
12,31.390221300579253
10,29.656294679641725
13,30.768876323699953
18,28.01655678581773
16,27.989165416130653
14,30.55415539308028
15,31.122877332899307
17,30.831303647586278
19,30.779375920530224
16,31.596650231559323
16,27.727092415678737
15,28.474814212068598
10,30.385771012306215
18,31.41554567548964
14,33.804583366881026
13,28.574651332128617
9,31.288297247886657
12,29.17738761458286
20,30.21659623926336
14,29.607890654583368
14,30.00852269711702
15,31.092057764530182
17,32.127859583088
17,31.40574273728488
14,30.447789455981965
12,31.76192161364433
20,32.87519410804466
19,27.61059884041075
15,32.583008060852684
17,34.38975806037585
9,30.249848076791473
9,29.635745756966728
12,31.31303288386418
14,34.020508610925006
16,29.82940342115319
10,31.384152360864586
15,29.721457290649415
